Source IP,Destination IP,Source Port,Destination Port,Payload Length,Timestamp,Protocol ID,Protocol Name,Packet Size,Flow Size
77.244.224.50,200.204.40.71,35762,35557,2883,1564319800787,6,TCP,2949,1
77.244.224.50,200.204.40.71,35762,35557,1458,1564319800787,6,TCP,1524,2
77.244.224.50,200.204.40.71,35762,35557,2883,1564319800787,6,TCP,2949,3
77.244.224.50,200.204.40.71,35762,35557,1458,1564319800787,6,TCP,1524,4
200.204.40.71,77.244.224.50,35557,35762,-1,1564319800793,6,TCP,66,5
200.204.40.71,77.244.224.50,35557,35762,-1,1564319800793,6,TCP,66,6
200.204.40.71,77.244.224.50,35557,35762,-1,1564319800793,6,TCP,66,7
200.204.40.71,77.244.224.50,35557,35762,-1,1564319800793,6,TCP,66,8
200.204.40.71,77.244.224.50,35557,35762,-1,1564319800794,6,TCP,66,9
77.244.224.50,200.204.40.71,35762,35557,1368,1564319800887,6,TCP,1434,10
77.244.224.50,200.204.40.71,35762,35557,750,1564319800887,6,TCP,816,11
200.204.40.71,77.244.224.50,35557,35762,-1,1564319800892,6,TCP,66,12
200.204.40.71,77.244.224.50,35557,35762,70,1564319801055,6,TCP,136,13
200.204.40.71,77.244.224.50,35557,35762,197,1564319801055,6,TCP,263,14
200.204.40.71,77.244.224.50,35557,35762,63,1564319801055,6,TCP,129,15
77.244.224.50,200.204.40.71,35762,35557,2883,1564319801057,6,TCP,2949,16
77.244.224.50,200.204.40.71,35762,35557,1458,1564319801058,6,TCP,1524,17
77.244.224.50,200.204.40.71,35762,35557,2883,1564319801058,6,TCP,2949,18
77.244.224.50,200.204.40.71,35762,35557,1458,1564319801058,6,TCP,1524,19
77.244.224.50,200.204.40.71,35762,35557,-1,1564319801058,6,TCP,66,20
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801063,6,TCP,66,21
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801063,6,TCP,66,22
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801064,6,TCP,66,23
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801064,6,TCP,66,24
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801064,6,TCP,66,25
200.204.40.71,77.244.224.50,35557,35762,443,1564319801073,6,TCP,509,26
77.244.224.50,200.204.40.71,35762,35557,-1,1564319801074,6,TCP,66,27
77.244.224.50,200.204.40.71,35762,35557,2352,1564319801144,6,TCP,2418,28
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801150,6,TCP,66,29
200.204.40.71,77.244.224.50,35557,35762,152,1564319801276,6,TCP,218,30
77.244.224.50,200.204.40.71,35762,35557,1368,1564319801278,6,TCP,1434,31
77.244.224.50,200.204.40.71,35762,35557,1515,1564319801278,6,TCP,1581,32
77.244.224.50,200.204.40.71,35762,35557,1458,1564319801278,6,TCP,1524,33
77.244.224.50,200.204.40.71,35762,35557,2883,1564319801279,6,TCP,2949,34
77.244.224.50,200.204.40.71,35762,35557,1458,1564319801279,6,TCP,1524,35
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801284,6,TCP,66,36
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801284,6,TCP,66,37
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801285,6,TCP,66,38
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801285,6,TCP,66,39
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801289,6,TCP,66,40
77.244.224.50,200.204.40.71,35762,35557,1014,1564319801414,6,TCP,1080,41
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801419,6,TCP,66,42
77.244.224.50,200.204.40.71,35762,35557,1368,1564319801533,6,TCP,1434,43
77.244.224.50,200.204.40.71,35762,35557,1515,1564319801534,6,TCP,1581,44
77.244.224.50,200.204.40.71,35762,35557,1458,1564319801534,6,TCP,1524,45
77.244.224.50,200.204.40.71,35762,35557,2883,1564319801535,6,TCP,2949,46
77.244.224.50,200.204.40.71,35762,35557,1458,1564319801535,6,TCP,1524,47
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801540,6,TCP,66,48
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801540,6,TCP,66,49
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801541,6,TCP,66,50
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801541,6,TCP,66,51
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801541,6,TCP,66,52
77.244.224.50,200.204.40.71,35762,35557,814,1564319801684,6,TCP,880,53
200.204.40.71,77.244.224.50,35557,35762,-1,1564319801690,6,TCP,66,54
200.204.40.71,77.244.224.50,35557,35762,535,1564319801738,6,TCP,601,55
77.244.224.50,200.204.40.71,35762,35557,-1,1564319801775,6,TCP,66,56
77.244.224.50,200.204.40.71,35762,35557,1368,1564319801789,6,TCP,1434,57
77.244.224.50,200.204.40.71,35762,35557,1515,1564319801790,6,TCP,1581,58
77.244.224.50,200.204.40.71,35762,35557,1458,1564319801790,6,TCP,1524,59
